PROJECT_ID,SAMPLE_ID,blank_or_control,enrichment,include
DCO_DAL,DCO_DAL_Bv4v5--Kabasilon,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--Mesochori3,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--NeaApollonia3,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--NeaKessani,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--NeoErasmio,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--Nymfopetra,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--Termopigi,FALSE,FALSE,TRUE
DCO_DAL,DCO_DAL_Bv4v5--Traianoupoli,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S1,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S2,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S3,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S4,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S5,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S6,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--S7,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv3v5--Sk_hlaup,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S1,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S2,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S3,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S4,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S5,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S6,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--S7,FALSE,FALSE,TRUE
DCO_GAI,DCO_GAI_Bv6v4--Sk_hlaup,FALSE,FALSE,TRUE
DCO_GMSB,DCO_GMSB_Av4v5--P10_2,FALSE,FALSE,TRUE
DCO_GMSB,DCO_GMSB_Av4v5--P10_4,FALSE,FALSE,TRUE
DCO_GMSB,DCO_GMSB_Av4v5--P11_2,FALSE,FALSE,TRUE
DCO_GMSB,DCO_GMSB_Av4v5--P11_5,FALSE,FALSE,TRUE
DCO_GMSB,DCO_GMSB_Av4v5--P12_4,FALSE,FALSE,TRUE
DCO_GMSB,DCO_GMSB_Av4v5--P13_4,FALSE,FALSE,TRUE
